DateTimeUTC,DateTimeEDT,Pressure (mmHg)
8/4/2023 18:34:16.094,8/4/2023 14:34:16.094,-15.137
8/4/2023 18:34:16.102,8/4/2023 14:34:16.102,-15.156
8/4/2023 18:34:16.110,8/4/2023 14:34:16.110,-15.11
8/4/2023 18:34:16.118,8/4/2023 14:34:16.118,-15.224
8/4/2023 18:34:16.126,8/4/2023 14:34:16.126,-15.215
8/4/2023 18:34:16.134,8/4/2023 14:34:16.134,-15.093
8/4/2023 18:34:16.142,8/4/2023 14:34:16.142,-15.068
8/4/2023 18:34:16.150,8/4/2023 14:34:16.150,-15.076
8/4/2023 18:34:16.158,8/4/2023 14:34:16.158,-15.039
8/4/2023 18:34:16.166,8/4/2023 14:34:16.166,-14.972
8/4/2023 18:34:16.174,8/4/2023 14:34:16.174,-15.04
8/4/2023 18:34:16.182,8/4/2023 14:34:16.182,-15.223
8/4/2023 18:34:16.190,8/4/2023 14:34:16.190,-15.175
8/4/2023 18:34:16.198,8/4/2023 14:34:16.198,-14.984
8/4/2023 18:34:16.206,8/4/2023 14:34:16.206,-14.961
8/4/2023 18:34:16.214,8/4/2023 14:34:16.214,-15.019
8/4/2023 18:34:16.222,8/4/2023 14:34:16.222,-15.082
8/4/2023 18:34:16.230,8/4/2023 14:34:16.230,-15.05
8/4/2023 18:34:16.238,8/4/2023 14:34:16.238,-14.981
8/4/2023 18:34:16.246,8/4/2023 14:34:16.246,-15.063
8/4/2023 18:34:16.254,8/4/2023 14:34:16.254,-15.033
8/4/2023 18:34:16.262,8/4/2023 14:34:16.262,-14.941
8/4/2023 18:34:16.270,8/4/2023 14:34:16.270,-15.026
8/4/2023 18:34:16.278,8/4/2023 14:34:16.278,-15.05
8/4/2023 18:34:16.286,8/4/2023 14:34:16.286,-15.054
8/4/2023 18:34:16.294,8/4/2023 14:34:16.294,-15.084
8/4/2023 18:34:16.302,8/4/2023 14:34:16.302,-15.053
8/4/2023 18:34:16.310,8/4/2023 14:34:16.310,-15.079
8/4/2023 18:34:16.318,8/4/2023 14:34:16.318,-15.132
8/4/2023 18:34:16.326,8/4/2023 14:34:16.326,-15.143
8/4/2023 18:34:16.334,8/4/2023 14:34:16.334,-15.141
8/4/2023 18:34:16.342,8/4/2023 14:34:16.342,-15.192
8/4/2023 18:34:16.350,8/4/2023 14:34:16.350,-15.117
8/4/2023 18:34:16.358,8/4/2023 14:34:16.358,-14.939
8/4/2023 18:34:16.366,8/4/2023 14:34:16.366,-15.022
8/4/2023 18:34:16.374,8/4/2023 14:34:16.374,-15.144
8/4/2023 18:34:16.382,8/4/2023 14:34:16.382,-14.999
8/4/2023 18:34:16.390,8/4/2023 14:34:16.390,-14.89
8/4/2023 18:34:16.398,8/4/2023 14:34:16.398,-14.995
8/4/2023 18:34:16.406,8/4/2023 14:34:16.406,-15.177
8/4/2023 18:34:16.414,8/4/2023 14:34:16.414,-15.168
8/4/2023 18:34:16.422,8/4/2023 14:34:16.422,-14.978
8/4/2023 18:34:16.430,8/4/2023 14:34:16.430,-14.951
8/4/2023 18:34:16.438,8/4/2023 14:34:16.438,-14.952
8/4/2023 18:34:16.446,8/4/2023 14:34:16.446,-14.88
8/4/2023 18:34:16.454,8/4/2023 14:34:16.454,-14.887
8/4/2023 18:34:16.462,8/4/2023 14:34:16.462,-14.944
8/4/2023 18:34:16.470,8/4/2023 14:34:16.470,-15.075
8/4/2023 18:34:16.478,8/4/2023 14:34:16.478,-15.149
8/4/2023 18:34:16.486,8/4/2023 14:34:16.486,-15.063
8/4/2023 18:34:16.494,8/4/2023 14:34:16.494,-15.004
8/4/2023 18:34:16.502,8/4/2023 14:34:16.502,-15.048
8/4/2023 18:34:16.510,8/4/2023 14:34:16.510,-15.106
8/4/2023 18:34:16.518,8/4/2023 14:34:16.518,-15.053
8/4/2023 18:34:16.526,8/4/2023 14:34:16.526,-15.067
8/4/2023 18:34:16.534,8/4/2023 14:34:16.534,-15.154
8/4/2023 18:34:16.542,8/4/2023 14:34:16.542,-15.062
8/4/2023 18:34:16.550,8/4/2023 14:34:16.550,-14.997
8/4/2023 18:34:16.558,8/4/2023 14:34:16.558,-15.102
8/4/2023 18:34:16.566,8/4/2023 14:34:16.566,-15.138
8/4/2023 18:34:16.574,8/4/2023 14:34:16.574,-15.111
8/4/2023 18:34:16.582,8/4/2023 14:34:16.582,-15.088
8/4/2023 18:34:16.590,8/4/2023 14:34:16.590,-15.014
8/4/2023 18:34:16.598,8/4/2023 14:34:16.598,-14.997
8/4/2023 18:34:16.606,8/4/2023 14:34:16.606,-15.045
8/4/2023 18:34:16.614,8/4/2023 14:34:16.614,-15.133
8/4/2023 18:34:16.622,8/4/2023 14:34:16.622,-15.19
8/4/2023 18:34:16.630,8/4/2023 14:34:16.630,-15.115
8/4/2023 18:34:16.638,8/4/2023 14:34:16.638,-15.083
8/4/2023 18:34:16.646,8/4/2023 14:34:16.646,-15.131
8/4/2023 18:34:16.654,8/4/2023 14:34:16.654,-15.099
8/4/2023 18:34:16.662,8/4/2023 14:34:16.662,-15.042
8/4/2023 18:34:16.670,8/4/2023 14:34:16.670,-15.011
8/4/2023 18:34:16.678,8/4/2023 14:34:16.678,-14.932
8/4/2023 18:34:16.686,8/4/2023 14:34:16.686,-14.928
8/4/2023 18:34:16.694,8/4/2023 14:34:16.694,-14.97
8/4/2023 18:34:16.702,8/4/2023 14:34:16.702,-14.979
8/4/2023 18:34:16.710,8/4/2023 14:34:16.710,-15.019
8/4/2023 18:34:16.718,8/4/2023 14:34:16.718,-15.028
8/4/2023 18:34:16.726,8/4/2023 14:34:16.726,-14.983
8/4/2023 18:34:16.734,8/4/2023 14:34:16.734,-14.934
8/4/2023 18:34:16.742,8/4/2023 14:34:16.742,-14.912
8/4/2023 18:34:16.750,8/4/2023 14:34:16.750,-14.988
8/4/2023 18:34:16.758,8/4/2023 14:34:16.758,-15.094
8/4/2023 18:34:16.766,8/4/2023 14:34:16.766,-15.068
8/4/2023 18:34:16.774,8/4/2023 14:34:16.774,-15.048
8/4/2023 18:34:16.782,8/4/2023 14:34:16.782,-15.134
8/4/2023 18:34:16.790,8/4/2023 14:34:16.790,-15.148
8/4/2023 18:34:16.798,8/4/2023 14:34:16.798,-15.041
8/4/2023 18:34:16.806,8/4/2023 14:34:16.806,-15.017
8/4/2023 18:34:16.814,8/4/2023 14:34:16.814,-15.167
8/4/2023 18:34:16.822,8/4/2023 14:34:16.822,-15.257
8/4/2023 18:34:16.830,8/4/2023 14:34:16.830,-15.178
8/4/2023 18:34:16.838,8/4/2023 14:34:16.838,-15.045
8/4/2023 18:34:16.846,8/4/2023 14:34:16.846,-14.947
8/4/2023 18:34:16.854,8/4/2023 14:34:16.854,-15.01
8/4/2023 18:34:16.862,8/4/2023 14:34:16.862,-15.081
8/4/2023 18:34:16.870,8/4/2023 14:34:16.870,-14.943
8/4/2023 18:34:16.878,8/4/2023 14:34:16.878,-14.855
8/4/2023 18:34:16.886,8/4/2023 14:34:16.886,-15.05
8/4/2023 18:34:16.894,8/4/2023 14:34:16.894,-15.208
8/4/2023 18:34:16.902,8/4/2023 14:34:16.902,-15.113
8/4/2023 18:34:16.910,8/4/2023 14:34:16.910,-15.024
8/4/2023 18:34:16.918,8/4/2023 14:34:16.918,-15.003
8/4/2023 18:34:16.926,8/4/2023 14:34:16.926,-14.976
