average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
59.71490216294118,26.14701981,58.72501981,2023-08-04 16:54:09.334,26.42001981,2023-08-04 16:54:09.142,47.17001981,2023-08-04 16:54:09.350,35.58701981,37.30471677969697,0.208,0.32682352941176473,0.32,0.23272727272727273,0.576,106.68103448275863,32.305,33.567882352941176
,,57.89301981,2023-08-04 16:54:09.910,24.01801981,2023-08-04 16:54:09.670,47.21801981,2023-08-04 16:54:09.926,35.659686476666664,,0.256,,0.208,,0.552,,33.875,
,,59.35801981,2023-08-04 16:54:10.462,24.54301981,2023-08-04 16:54:10.134,48.00201981,2023-08-04 16:54:10.502,36.25801981,,0.368,,0.208,,0.576,,34.815,
,,58.79601981,2023-08-04 16:54:11.038,24.70801981,2023-08-04 16:54:10.710,48.87601981,2023-08-04 16:54:11.102,36.57268647666666,,0.392,,0.2,,0.584,,34.087999999999994,
,,59.92801981,2023-08-04 16:54:11.622,25.46101981,2023-08-04 16:54:11.302,48.69901981,2023-08-04 16:54:11.638,37.538019809999994,,0.336,,0.24,,0.536,,34.467,
,,59.71001981,2023-08-04 16:54:12.158,26.34301981,2023-08-04 16:54:11.878,48.95801981,2023-08-04 16:54:12.214,37.74135314333333,,0.336,,0.224,,0.584,,33.367,
,,61.40001981,2023-08-04 16:54:12.742,26.75701981,2023-08-04 16:54:12.438,46.57701981,2023-08-04 16:54:12.806,38.226686476666664,,0.368,,0.2,,0.568,,34.643,
,,60.89401981,2023-08-04 16:54:13.310,26.64001981,2023-08-04 16:54:13.006,48.94601981,2023-08-04 16:54:13.342,37.99401981,,0.336,,0.224,,0.56,,34.254000000000005,
,,62.07101981,2023-08-04 16:54:13.870,26.54401981,2023-08-04 16:54:13.566,47.79701981,2023-08-04 16:54:13.910,38.28968647666667,,0.344,,0.312,,0.568,,35.527,
,,60.76001981,2023-08-04 16:54:14.438,26.39901981,2023-08-04 16:54:14.222,47.29601981,2023-08-04 16:54:14.478,37.24001981,,0.256,,0.224,,0.56,,34.361000000000004,
,,58.95701981,2023-08-04 16:54:14.998,25.48001981,2023-08-04 16:54:14.702,46.51501981,2023-08-04 16:54:15.038,37.29768647666666,,0.336,,0.24,,0.56,,33.477,
,,58.82201981,2023-08-04 16:54:15.558,26.46801981,2023-08-04 16:54:15.278,46.80301981,2023-08-04 16:54:15.606,37.22935314333333,,0.328,,0.232,,0.568,,32.354,
,,59.45201981,2023-08-04 16:54:16.126,26.43301981,2023-08-04 16:54:15.838,46.28901981,2023-08-04 16:54:16.166,37.26135314333334,,0.328,,0.232,,0.552,,33.019000000000005,
,,59.82201981,2023-08-04 16:54:16.678,26.16601981,2023-08-04 16:54:16.398,45.74101981,2023-08-04 16:54:16.726,37.53401981,,0.328,,0.24,,0.576,,33.656,
,,60.09701981,2023-08-04 16:54:17.254,26.39001981,2023-08-04 16:54:16.966,47.58401981,2023-08-04 16:54:17.326,37.52701981,,0.36,,0.192,,0.56,,33.707,
,,60.03701981,2023-08-04 16:54:17.814,26.24201981,2023-08-04 16:54:17.518,47.32201981,2023-08-04 16:54:17.854,37.57768647666666,,0.336,,0.232,,0.56,,33.795,
,,60.15901981,2023-08-04 16:54:18.374,26.34801981,2023-08-04 16:54:18.086,45.58101981,2023-08-04 16:54:18.414,37.463686476666666,,0.328,,0.192,,0.568,,33.81099999999999,
,,59.00501981,2023-08-04 16:54:18.942,26.11601981,2023-08-04 16:54:18.606,46.32201981,2023-08-04 16:54:18.974,37.09368647666666,,0.368,,0.232,,0.552,,32.888999999999996,
,,58.91401981,2023-08-04 16:54:19.494,26.13801981,2023-08-04 16:54:19.206,45.50501981,2023-08-04 16:54:19.534,37.12801981,,0.328,,0.232,,0.56,,32.775999999999996,
