average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
44.958805823548374,24.317160662258065,42.35503163,2023-08-04 16:58:50.534,21.47603163,2023-08-04 16:58:50.334,34.75303163,2023-08-04 16:58:50.590,29.155698296666664,31.261153852222225,0.256,0.2934193548387097,0.32,0.2714666666666667,0.584,105.88235294117646,20.878999999999998,20.641645161290317
,,47.76503163,2023-08-04 16:58:51.118,22.55603163,2023-08-04 16:58:50.910,35.32003163,2023-08-04 16:58:51.166,31.31703163,,0.256,,0.312,,0.6,,25.209000000000003,
,,45.03003163,2023-08-04 16:58:51.718,23.09303163,2023-08-04 16:58:51.478,36.45903163,2023-08-04 16:58:51.734,30.980698296666667,,0.256,,0.232,,0.56,,21.937000000000005,
,,43.90103163,2023-08-04 16:58:52.278,23.95603163,2023-08-04 16:58:51.966,37.43003163,2023-08-04 16:58:52.310,30.855031629999996,,0.344,,0.24,,0.56,,19.945,
,,44.80303163,2023-08-04 16:58:52.838,24.33203163,2023-08-04 16:58:52.550,37.16003163,2023-08-04 16:58:52.878,31.197698296666665,,0.328,,0.32,,0.568,,20.471,
,,44.74503163,2023-08-04 16:58:53.406,24.39503163,2023-08-04 16:58:53.198,36.71503163,2023-08-04 16:58:53.454,30.988364963333332,,0.256,,0.32,,0.568,,20.35,
,,45.04903163,2023-08-04 16:58:53.974,24.11003163,2023-08-04 16:58:53.774,36.47803163,2023-08-04 16:58:54.022,31.194364963333335,,0.248,,0.312,,0.568,,20.939,
,,44.50603163,2023-08-04 16:58:54.542,24.26703163,2023-08-04 16:58:54.334,37.12803163,2023-08-04 16:58:54.590,30.27003163,,0.256,,0.192,,0.576,,20.239,
,,47.70503163,2023-08-04 16:58:55.118,23.15203163,2023-08-04 16:58:54.782,40.09703163,2023-08-04 16:58:55.158,32.04369829666666,,0.376,,0.32,,0.56,,24.553,
,,44.03703163,2023-08-04 16:58:55.678,24.21303163,2023-08-04 16:58:55.478,36.67303163,2023-08-04 16:58:55.726,31.019698296666668,,0.248,,0.336,,0.576,,19.824,
,,43.82103163,2023-08-04 16:58:56.254,24.51103163,2023-08-04 16:58:56.062,37.42003163,2023-08-04 16:58:56.294,30.915698296666662,,0.232,,0.312,,0.56,,19.31,
,,44.17103163,2023-08-04 16:58:56.814,24.46303163,2023-08-04 16:58:56.606,35.10803163,2023-08-04 16:58:56.862,30.98903163,,0.256,,0.32,,0.568,,19.708000000000002,
,,43.60603163,2023-08-04 16:58:57.382,24.39803163,2023-08-04 16:58:57.182,34.79603163,2023-08-04 16:58:57.430,30.854698296666665,,0.248,,0.312,,0.568,,19.208,
,,46.63103163,2023-08-04 16:58:57.950,24.47903163,2023-08-04 16:58:57.742,35.47003163,2023-08-04 16:58:57.998,31.969031629999996,,0.256,,0.312,,0.568,,22.152,
,,44.80803163,2023-08-04 16:58:58.518,24.63803163,2023-08-04 16:58:58.310,35.44003163,2023-08-04 16:58:58.558,31.36403163,,0.248,,0.312,,0.56,,20.17,
,,45.87603163,2023-08-04 16:58:59.078,24.64203163,2023-08-04 16:58:58.870,35.42403163,2023-08-04 16:58:59.126,31.69203163,,0.256,,0.312,,0.568,,21.233999999999998,
,,45.19103163,2023-08-04 16:58:59.646,24.60003163,2023-08-04 16:58:59.438,36.22603163,2023-08-04 16:58:59.694,31.53636496333333,,0.256,,0.304,,0.56,,20.590999999999998,
,,44.65703163,2023-08-04 16:59:00.206,24.70903163,2023-08-04 16:58:59.998,34.88703163,2023-08-04 16:59:00.254,31.323698296666663,,0.256,,0.232,,0.568,,19.948,
,,45.25403163,2023-08-04 16:59:00.774,24.65703163,2023-08-04 16:59:00.486,35.11803163,2023-08-04 16:59:00.822,31.58203163,,0.336,,0.232,,0.568,,20.597,
,,45.59003163,2023-08-04 16:59:01.342,24.74603163,2023-08-04 16:59:01.054,35.36603163,2023-08-04 16:59:01.382,31.735364963333332,,0.328,,0.232,,0.56,,20.843999999999998,
,,44.83003163,2023-08-04 16:59:01.902,24.80803163,2023-08-04 16:59:01.614,35.52703163,2023-08-04 16:59:01.950,31.53203163,,0.336,,0.224,,0.568,,20.022000000000002,
,,45.68903163,2023-08-04 16:59:02.470,24.88303163,2023-08-04 16:59:02.174,35.03203163,2023-08-04 16:59:02.510,31.70836496333333,,0.336,,0.232,,0.56,,20.806,
,,45.82203163,2023-08-04 16:59:03.030,24.71803163,2023-08-04 16:59:02.742,35.26103163,2023-08-04 16:59:03.078,31.74203163,,0.336,,0.224,,0.568,,21.104,
,,44.02203163,2023-08-04 16:59:03.598,24.70203163,2023-08-04 16:59:03.302,34.21703163,2023-08-04 16:59:03.638,31.256698296666663,,0.336,,0.232,,0.56,,19.32,
,,43.82803163,2023-08-04 16:59:04.158,24.87403163,2023-08-04 16:59:03.870,34.62403163,2023-08-04 16:59:04.198,31.066698296666665,,0.328,,0.232,,0.56,,18.953999999999997,
,,45.33703163,2023-08-04 16:59:04.718,24.68603163,2023-08-04 16:59:04.430,35.13803163,2023-08-04 16:59:04.766,31.616364963333332,,0.336,,0.224,,0.568,,20.651,
,,45.35803163,2023-08-04 16:59:05.286,24.75603163,2023-08-04 16:59:04.990,34.95903163,2023-08-04 16:59:05.326,31.669364963333333,,0.336,,0.232,,0.56,,20.602,
,,45.31603163,2023-08-04 16:59:05.846,24.82503163,2023-08-04 16:59:05.558,36.03303163,2023-08-04 16:59:05.886,31.59603163,,0.328,,0.224,,0.56,,20.490999999999996,
,,45.42403163,2023-08-04 16:59:06.406,24.73603163,2023-08-04 16:59:06.110,35.26303163,2023-08-04 16:59:06.454,31.701364963333333,,0.344,,0.224,,0.56,,20.688000000000002,
,,43.66403163,2023-08-04 16:59:06.966,24.84003163,2023-08-04 16:59:06.678,34.24603163,2023-08-04 16:59:07.014,30.96136496333333,,0.336,,0.312,,0.568,,18.823999999999998,
,,44.93103163,2023-08-04 16:59:07.534,24.61003163,2023-08-04 16:59:07.326,36.06303163,2023-08-04 16:59:07.574,,,0.248,,,,,,20.320999999999998,
