average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
49.41163992173184,19.017204167541898,62.37101981,2023-08-04 18:37:56.550,22.22301981,2023-08-04 18:37:55.046,49.19201981,2023-08-04 18:37:56.606,35.48635314333333,29.14578947292135,1.56,0.24813407821229055,0.28,0.31977528089887636,0.584,107.02260702260699,40.147999999999996,30.394435754189946
,,59.89901981,2023-08-04 18:37:57.134,22.04401981,2023-08-04 18:37:56.886,46.88501981,2023-08-04 18:37:57.158,34.33435314333333,,0.272,,0.232,,0.584,,37.855,
,,59.56701981,2023-08-04 18:37:57.718,21.55201981,2023-08-04 18:37:57.390,46.48901981,2023-08-04 18:37:57.734,34.28568647666666,,0.344,,0.24,,0.552,,38.015,
,,57.99101981,2023-08-04 18:37:58.270,21.64501981,2023-08-04 18:37:57.974,46.22401981,2023-08-04 18:37:58.310,33.73435314333333,,0.336,,0.24,,0.568,,36.346,
,,57.19401981,2023-08-04 18:37:58.838,21.60601981,2023-08-04 18:37:58.550,44.05601981,2023-08-04 18:37:58.886,33.299353143333335,,0.336,,0.232,,0.576,,35.588,
,,56.14201981,2023-08-04 18:37:59.414,21.35201981,2023-08-04 18:37:59.118,45.17001981,2023-08-04 18:37:59.454,33.038019809999994,,0.336,,0.248,,0.568,,34.79,
,,56.89201981,2023-08-04 18:37:59.982,21.48601981,2023-08-04 18:37:59.702,43.36901981,2023-08-04 18:38:00.030,33.20068647666666,,0.328,,0.304,,0.568,,35.406000000000006,
,,56.74801981,2023-08-04 18:38:00.550,21.35501981,2023-08-04 18:38:00.334,43.31501981,2023-08-04 18:38:00.598,33.03868647666667,,0.264,,0.304,,0.568,,35.393,
,,56.31001981,2023-08-04 18:38:01.118,21.18401981,2023-08-04 18:38:00.902,43.83101981,2023-08-04 18:38:01.166,32.884686476666666,,0.264,,0.312,,0.568,,35.126000000000005,
,,55.43001981,2023-08-04 18:38:01.686,21.17201981,2023-08-04 18:38:01.478,44.26501981,2023-08-04 18:38:01.734,32.61468647666666,,0.256,,0.216,,0.568,,34.257999999999996,
,,55.79701981,2023-08-04 18:38:02.254,21.20701981,2023-08-04 18:38:01.950,43.29001981,2023-08-04 18:38:02.294,32.53635314333333,,0.344,,0.232,,0.568,,34.59,
,,55.30401981,2023-08-04 18:38:02.822,20.90601981,2023-08-04 18:38:02.526,42.66301981,2023-08-04 18:38:02.862,32.42335314333333,,0.336,,0.216,,0.56,,34.397999999999996,
,,54.34401981,2023-08-04 18:38:03.382,20.98301981,2023-08-04 18:38:03.078,42.24601981,2023-08-04 18:38:03.422,31.912019809999997,,0.344,,0.224,,0.568,,33.361000000000004,
,,54.12101981,2023-08-04 18:38:03.950,20.69601981,2023-08-04 18:38:03.646,41.39101981,2023-08-04 18:38:03.990,31.850353143333333,,0.344,,0.232,,0.56,,33.425,
,,53.94001981,2023-08-04 18:38:04.510,20.71501981,2023-08-04 18:38:04.222,41.69501981,2023-08-04 18:38:04.550,31.851353143333334,,0.328,,0.312,,0.568,,33.225,
,,54.09701981,2023-08-04 18:38:05.078,20.80701981,2023-08-04 18:38:04.862,41.82701981,2023-08-04 18:38:05.118,31.823019809999998,,0.256,,0.232,,0.56,,33.29,
,,54.30801981,2023-08-04 18:38:05.638,20.68601981,2023-08-04 18:38:05.350,41.67901981,2023-08-04 18:38:05.678,31.852686476666662,,0.328,,0.312,,0.56,,33.622,
,,54.39501981,2023-08-04 18:38:06.198,20.62501981,2023-08-04 18:38:05.990,41.47601981,2023-08-04 18:38:06.238,31.890353143333332,,0.248,,0.336,,0.56,,33.769999999999996,
,,54.15301981,2023-08-04 18:38:06.758,20.63801981,2023-08-04 18:38:06.574,41.90101981,2023-08-04 18:38:06.798,31.84701981,,0.224,,0.232,,0.568,,33.515,
,,52.97801981,2023-08-04 18:38:07.326,20.69401981,2023-08-04 18:38:07.030,42.85601981,2023-08-04 18:38:07.358,31.398686476666665,,0.328,,0.224,,0.56,,32.284,
,,53.93301981,2023-08-04 18:38:07.886,20.60901981,2023-08-04 18:38:07.582,41.99201981,2023-08-04 18:38:07.918,31.743019809999996,,0.336,,0.336,,0.552,,33.324,
,,53.55701981,2023-08-04 18:38:08.438,20.64801981,2023-08-04 18:38:08.254,41.45301981,2023-08-04 18:38:08.478,31.491019809999997,,0.224,,0.32,,0.56,,32.909,
,,52.93601981,2023-08-04 18:38:08.998,20.45801981,2023-08-04 18:38:08.798,41.36601981,2023-08-04 18:38:09.038,31.284686476666664,,0.24,,0.312,,0.56,,32.477999999999994,
,,52.63201981,2023-08-04 18:38:09.558,20.45901981,2023-08-04 18:38:09.350,41.14601981,2023-08-04 18:38:09.598,31.114686476666666,,0.248,,0.328,,0.56,,32.173,
,,52.55701981,2023-08-04 18:38:10.118,20.35601981,2023-08-04 18:38:09.926,41.04101981,2023-08-04 18:38:10.158,31.057019809999996,,0.232,,0.336,,0.56,,32.201,
,,53.36901981,2023-08-04 18:38:10.678,20.30701981,2023-08-04 18:38:10.494,40.93201981,2023-08-04 18:38:10.718,31.40435314333333,,0.224,,0.312,,0.56,,33.062,
