average_systolic_pressure (mmHg),average_diastolic_pressure (mmHg),systolic_peaks (mmHg),systolic_peak_times,diastolic_troughs (mmHg),diastolic_trough_times,dicrotic_notches (mmHg),dicrotic_notch_times,MAP (mmHg),average_MAP (mmHg),systole_duration (s),average_systole_duration (s),diastole_duration (s),average_diastole_duration (s),compression_rate,average_compression_rate (compressions/min),pulse_pressure (mmHg),average_pulse_pressure (mmHg)
42.62436312171271,20.08086035928177,49.55703163,2023-08-04 18:35:28.838,21.91203163,2023-08-04 18:35:28.174,41.13603163,2023-08-04 18:35:28.870,30.527031629999996,27.59067607444445,0.696,0.27752486187845304,0.272,0.2871111111111111,0.592,106.71093194213894,27.644999999999996,22.54350276243094
,,47.83203163,2023-08-04 18:35:29.430,21.01203163,2023-08-04 18:35:29.142,38.95203163,2023-08-04 18:35:29.446,30.076698296666667,,0.304,,0.248,,0.584,,26.820000000000004,
,,46.22503163,2023-08-04 18:35:30.014,21.19903163,2023-08-04 18:35:29.694,38.94603163,2023-08-04 18:35:30.030,29.441698296666665,,0.336,,0.344,,0.576,,25.025999999999996,
,,45.14603163,2023-08-04 18:35:30.590,21.05003163,2023-08-04 18:35:30.374,38.75603163,2023-08-04 18:35:30.614,29.06003163,,0.24,,0.312,,0.552,,24.096000000000004,
,,44.12303163,2023-08-04 18:35:31.142,21.01703163,2023-08-04 18:35:30.926,36.29303163,2023-08-04 18:35:31.190,28.507698296666668,,0.264,,0.336,,0.576,,23.105999999999998,
,,44.70903163,2023-08-04 18:35:31.718,20.70003163,2023-08-04 18:35:31.526,35.51803163,2023-08-04 18:35:31.766,28.80303163,,0.24,,0.312,,0.6,,24.008999999999997,
,,44.70403163,2023-08-04 18:35:32.318,20.85003163,2023-08-04 18:35:32.078,35.76403163,2023-08-04 18:35:32.382,28.89403163,,0.304,,0.296,,0.576,,23.854000000000003,
,,43.96603163,2023-08-04 18:35:32.894,20.98903163,2023-08-04 18:35:32.678,38.69603163,2023-08-04 18:35:32.910,28.53203163,,0.232,,0.336,,0.544,,22.977000000000004,
,,44.90703163,2023-08-04 18:35:33.438,20.81503163,2023-08-04 18:35:33.246,36.15103163,2023-08-04 18:35:33.486,28.807031629999997,,0.24,,0.336,,0.568,,24.092,
,,43.52803163,2023-08-04 18:35:34.006,20.75703163,2023-08-04 18:35:33.822,36.07803163,2023-08-04 18:35:34.054,28.41603163,,0.232,,0.336,,0.576,,22.771,
,,43.88803163,2023-08-04 18:35:34.582,20.86003163,2023-08-04 18:35:34.390,35.48003163,2023-08-04 18:35:34.622,28.44736496333333,,0.232,,0.336,,0.568,,23.028,
