DateTime (UTC),DateTime (EDT),Pressure (mmHg),Pressure (Pa)
2023-08-04 18:34:16.094,8/4/2023 14:34:16.094,6.079,810.464438
2023-08-04 18:34:16.102,8/4/2023 14:34:16.102,6.06,807.9313199999999
2023-08-04 18:34:16.110,8/4/2023 14:34:16.110,6.106,814.064132
2023-08-04 18:34:16.118,8/4/2023 14:34:16.118,5.992,798.865424
2023-08-04 18:34:16.126,8/4/2023 14:34:16.126,6.001,800.065322
2023-08-04 18:34:16.134,8/4/2023 14:34:16.134,6.123,816.3306060000001
2023-08-04 18:34:16.142,8/4/2023 14:34:16.142,6.148,819.663656
2023-08-04 18:34:16.150,8/4/2023 14:34:16.150,6.14,818.59708
2023-08-04 18:34:16.158,8/4/2023 14:34:16.158,6.177,823.529994
2023-08-04 18:34:16.166,8/4/2023 14:34:16.166,6.244,832.462568
2023-08-04 18:34:16.174,8/4/2023 14:34:16.174,6.176,823.3966720000001
2023-08-04 18:34:16.182,8/4/2023 14:34:16.182,5.993,798.9987460000001
2023-08-04 18:34:16.190,8/4/2023 14:34:16.190,6.041,805.3982020000001
2023-08-04 18:34:16.198,8/4/2023 14:34:16.198,6.232,830.862704
2023-08-04 18:34:16.206,8/4/2023 14:34:16.206,6.255,833.92911
2023-08-04 18:34:16.214,8/4/2023 14:34:16.214,6.197,826.1964340000001
2023-08-04 18:34:16.222,8/4/2023 14:34:16.222,6.134,817.7971480000001
2023-08-04 18:34:16.230,8/4/2023 14:34:16.230,6.166,822.0634520000001
2023-08-04 18:34:16.238,8/4/2023 14:34:16.238,6.235,831.2626700000001
2023-08-04 18:34:16.246,8/4/2023 14:34:16.246,6.153,820.3302659999999
2023-08-04 18:34:16.254,8/4/2023 14:34:16.254,6.183,824.329926
2023-08-04 18:34:16.262,8/4/2023 14:34:16.262,6.275,836.5955500000001
2023-08-04 18:34:16.270,8/4/2023 14:34:16.270,6.19,825.26318
2023-08-04 18:34:16.278,8/4/2023 14:34:16.278,6.166,822.0634520000001
2023-08-04 18:34:16.286,8/4/2023 14:34:16.286,6.162,821.530164
2023-08-04 18:34:16.294,8/4/2023 14:34:16.294,6.132,817.530504
2023-08-04 18:34:16.302,8/4/2023 14:34:16.302,6.163,821.663486
2023-08-04 18:34:16.310,8/4/2023 14:34:16.310,6.137,818.1971139999999
2023-08-04 18:34:16.318,8/4/2023 14:34:16.318,6.084,811.131048
2023-08-04 18:34:16.326,8/4/2023 14:34:16.326,6.073,809.6645060000001
2023-08-04 18:34:16.334,8/4/2023 14:34:16.334,6.075,809.93115
2023-08-04 18:34:16.342,8/4/2023 14:34:16.342,6.024,803.1317280000001
2023-08-04 18:34:16.350,8/4/2023 14:34:16.350,6.099,813.130878
2023-08-04 18:34:16.358,8/4/2023 14:34:16.358,6.277,836.862194
2023-08-04 18:34:16.366,8/4/2023 14:34:16.366,6.194,825.796468
2023-08-04 18:34:16.374,8/4/2023 14:34:16.374,6.072,809.531184
2023-08-04 18:34:16.382,8/4/2023 14:34:16.382,6.217,828.8628739999999
2023-08-04 18:34:16.390,8/4/2023 14:34:16.390,6.326,843.3949719999999
2023-08-04 18:34:16.398,8/4/2023 14:34:16.398,6.221,829.396162
2023-08-04 18:34:16.406,8/4/2023 14:34:16.406,6.039,805.1315579999999
2023-08-04 18:34:16.414,8/4/2023 14:34:16.414,6.048,806.331456
2023-08-04 18:34:16.422,8/4/2023 14:34:16.422,6.238,831.662636
2023-08-04 18:34:16.430,8/4/2023 14:34:16.430,6.265,835.26233
2023-08-04 18:34:16.438,8/4/2023 14:34:16.438,6.264,835.129008
2023-08-04 18:34:16.446,8/4/2023 14:34:16.446,6.336,844.728192
2023-08-04 18:34:16.454,8/4/2023 14:34:16.454,6.329,843.794938
2023-08-04 18:34:16.462,8/4/2023 14:34:16.462,6.272,836.195584
